"Alzheimer"	"Parkinson"	"Autism"	"Schizophrenia"
"GOLT1B"	"SQSTM1"	"HTR4"	"SNCA"
"GORASP2"	"STUB1"	"HTR6"	"SYN2"
"GOT1"	"SYNJ1"	"HTR7"	"TBX1"
"GOT2"	"TAF1"	"IDO1"	"TPM2"
"GPAA1"	"TARDBP"	"IDO2"	"TUBG1"
"GPC5"	"TBK1"	"IMPDH1"	"UFD1"
"GPI"	"TBP"	"INSR"	"UPF3B"
"GPM6A"	"TBX1"	"ITPA"	"USH1C"
"GPR22"	"TH"	"KCNA1"	"USH1G"
"GRIA1"	"TK2"	"KCNA3"	"USH2A"
"GRIA2"	"TMEM106B"	"KCNA4"	"VPS35"
"GRIA3"	"TMEM240"	"KCNA5"	"WFS1"
"GRIN2A"	"TNR"	"KCNA6"	"WHRN"
"GRPEL1"	"TOMM40"	"KCNA7"	"ZBTB20"
"GSPT2"	"TREM2"	"KIT"	"ZDHHC9"
"GSTA4"	"TRPM7"	"KMO"	"ABCB7"
"GSTM3"	"TSPOAP1"	"KYAT1"	"ADGRV1"
"GSTO1"	"TWNK"	"KYAT3"	"AMACR"
"GTF2A2"	"UBTF"	"KYNU"	"APOL2"
"GUCY1B1"	"UCHL1"	"LMBRD1"	"APOL4"
"GUK1"	"UFD1"	"MAOB"	"ARSA"
"H2AZ2"	"UQCRC1"	"MAP1LC3A"	"ARSG"
"HADH"	"VCP"	"MAPKAP1"	"ARVCF"
"HBA1"	"VPS13A"	"MAT1A"	"ATG7"
"HBB"	"VPS13C"	"MAT2B"	"ATP2A2"
"HCCS"	"VPS35"	"MC4R"	"CAT"
"HDGFL3"	"WARS2"	"MLST8"	"CDH23"
"HERC1"	"WDR45"	"MMAA"	"CEP78"
"HERC2"	"XPR1"	"MMACHC"	"CHI3L1"
"HEXB"	"BMP2"	"MMADHC"	"CHRNA7"
"HEY1"	"FNIP1"	"MMUT"	"CIB2"
"HIGD1A"	"GAA"	"MOCOS"	"CLRN1"
"HINT1"	"GTPBP3"	"MTHFD1"	"CNTNAP2"
"HLA-B"	"IFNG"	"MTHFD1L"	"COMT"
"HLA-G"	"JAG2"	"MTHFD2"	"DAOA"
"HLTF"	"LAMP2"	"MTHFD2L"	"DNAJC13"
"HMG20A"	"MRPS14"	"MTHFR"	"DNMT3A"
"HMGN4"	"MT-CO1"	"MTOR"	"DRD3"
"HNRNPC"	"MT-CO2"	"MTR"	"DSG4"
"HNRNPD"	"MT-CO3"	"MTRR"	"EIF4G1"
"HNRNPDL"	"MT-CYB"	"NADSYN1"	"ESPN"
"HNRNPK"	"MT-ND1"	"NCAM1"	"FLI1"
"HNRNPR"	"MT-ND4"	"NGLY1"	"FTSJ1"
"HOPX"	"MT-ND5"	"NLGN1"	"GBA1"
"HPCA"	"MT-ND6"	"NLGN2"	"GIGYF2"
"HPCAL4"	"MT-TC"	"NLGN4X"	"GJA5"
"HPRT1"	"MT-TF"	"NMNAT1"	"GJA8"
"HS3ST2"	"MT-TH"	"NOS1"	"GP1BB"
"HSD17B12"	"MT-TK"	"NOS2"	"HARS1"
"HSF2"	"MT-TL1"	"NOS3"	"HIRA"
"HSP90AA1"	"MT-TQ"	"NOX1"	"HTR2A"
"HSP90AB1"	"MT-TS2"	"NOX3"	"JMJD1C"
"HSPA13"	"MT-TV"	"NOX4"	"KRT81"
"HSPA14"	"MT-TW"	"NOX5"	"KRT83"
"HSPA4L"	"MTFMT"	"NRXN1"	"KRT86"
"HSPA5"	"NDUFAF1"	"NRXN2"	"LRRK2"
"HSPA8"	"PRKAG2"	"NRXN3"	"MED12"
"HSPA9"	"TCAP"	"OPRM1"	"MSTO1"
"HSPD1"	"TNNI3"	"OXT"	"MT-TE"
"HSPE1"	"TSC1"	"OXTR"	"MT-TS2"
"HSPH1"	"TSC2"	"PCBD1"	"MTHFR"
"HTR1E"	"APAF1"	"PCBD2"	"MYO7A"
"HTR2A"	"ATP5F1A"	"PDGFRA"	"NIPA1"
"HTRA2"	"ATP5F1B"	"PDGFRB"	"NIPA2"
"HYOU1"	"ATP5F1C"	"PDXK"	"NKX2-1"
"IARS1"	"ATP5F1D"	"PIK3AP1"	"PCDH15"
"IDH3B"	"ATP5F1E"	"PIK3C3"	"PDZD7"
"IDS"	"ATP5MC1"	"PIK3CB"	"PRODH"
"IFIT1"	"ATP5MC1P5"	"PIK3CD"	"PSAP"
"IFNGR2"	"ATP5MC2"	"PIK3R1"	"RBM12"
"IFRD1"	"ATP5MC3"	"PIK3R2"	"RREB1"
"IFT25"	"ATP5PB"	"PIK3R3"	"RTN4R"
"IGF1"	"ATP5PD"	"PIK3R4"	"SEC24C"
"ILF3"	"ATP5PF"	"PLCG1"	"SETD1A"
"IMP4"	"ATP5PO"	"PLCG2"	"SHANK3"
"INA"	"CASP3"	"PNMT"	"SLC12A2"
"IPO5"	"CASP9"	"PNP"	"SNCA"
"IPO7"	"COX4I1"	"PNPO"	"SYN2"
"ISCU"	"COX4I2"	"PRKAA1"	"TBX1"
"ITGB1BP1"	"COX5A"	"PRKAA2"	"TPM2"
"ITM2B"	"COX5B"	"PRKACA"	"TUBG1"
"ITPKA"	"COX6A1"	"PRKACB"	"UFD1"
"ITPR1"	"COX6A2"	"PRKACG"	"UPF3B"
"ITSN2"	"COX6B1"	"PRKAR1A"	"USH1C"
"JAK2"	"COX6B2"	"PRKAR1B"	"USH1G"
"JPH3"	"COX6C"	"PRKAR2B"	"USH2A"
"KALRN"	"COX6CP3"	"PRKCA"	"VPS35"
"KATNB1"	"COX7A1"	"PRKCB"	"WFS1"
"KCNAB1"	"COX7A2"	"PRKCD"	"WHRN"
"KCNAB2"	"COX7A2L"	"PRKCG"	"ZBTB20"
"KCND2"	"COX7B"	"PTK2B"	"ZDHHC9"
"KCNF1"	"COX7B2"	"PTS"	"ABCB7"
"KCNIP1"	"COX7C"	"QDPR"	"ADGRV1"
"KCNJ3"	"COX8A"	"QPRT"	"AMACR"
"KCNK1"	"COX8C"	"RB1CC1"	"APOL2"
"KCNN2"	"CYC1"	"REN"	"APOL4"
"KCNQ2"	"CYCS"	"RFK"	"ARSA"
"KDELR2"	"GPR37"	"RHEB"	"ARSG"
"KHDRBS1"	"MT-ATP6"	"RHOA"	"ARVCF"
"KIDINS220"	"MT-ATP8"	"RICTOR"	"ATG7"
"KIF1B"	"MT-ND2"	"RIT2"	"ATP2A2"
"KIF2A"	"MT-ND3"	"RPTOR"	"CAT"
"KIF3C"	"MT-ND4L"	"SCN10A"	"CDH23"
"KIF5C"	"NDUFA1"	"SCN11A"	"CEP78"
"KIFAP3"	"NDUFA10"	"SCN1B"	"CHI3L1"
"KIFBP"	"NDUFA2"	"SCN2B"	"CHRNA7"
"KIT"	"NDUFA3"	"SCN3B"	"CIB2"
"KL"	"NDUFA4"	"SCN4A"	"CLRN1"
"KLC1"	"NDUFA4L2"	"SCN4B"	"CNTNAP2"
"KPNA2"	"NDUFA5"	"SCN5A"	"COMT"
"KPNA3"	"NDUFA6"	"SCN7A"	"DAOA"
"KPNB1"	"NDUFA7"	"SCN9A"	"DNAJC13"
"L1CAM"	"NDUFA8"	"SESN1"	"DNMT3A"
"LAMTOR2"	"NDUFA9"	"SESN2"	"DRD3"
"LAMTOR3"	"NDUFAB1"	"SHANK1"	"DSG4"
"LAMTOR5"	"NDUFB1"	"SHANK2"	"EIF4G1"
"LANCL1"	"NDUFB10"	"SHMT1"	"ESPN"
"LAPTM4B"	"NDUFB2"	"SHMT2"	"FLI1"
"LARGE1"	"NDUFB3"	"SIRT3"	"FTSJ1"
"LDB2"	"NDUFB4"	"SLC17A6"	"GBA1"
"LDHA"	"NDUFB5"	"SLC18A1"	"GIGYF2"
"LDOC1"	"NDUFB6"	"SLC19A1"	"GJA5"
"LETMD1"	"NDUFB7"	"SLC25A12"	"GJA8"
"LGALS8"	"NDUFB8"	"SLC25A13"	"GP1BB"
"LHX2"	"NDUFB9"	"SLC25A32"	"HARS1"
"LMO4"	"NDUFC1"	"SLC25A39"	"HIRA"
"LRP12"	"NDUFC2"	"SLC25A40"	"HTR2A"
"LRP1B"	"NDUFS1"	"SLC32A1"	"JMJD1C"
"LRP8"	"NDUFS2"	"SLC46A1"	"KRT81"
"LRPPRC"	"NDUFS3"	"SLC52A1"	"KRT83"
"LRRC8B"	"NDUFS4"	"SLC52A2"	"KRT86"
"LRRN3"	"NDUFS5"	"SLC52A3"	"LRRK2"
"LSM3"	"NDUFS6"	"SLC6A1"	"MED12"
"LSM4"	"NDUFS7"	"SLC6A2"	"MSTO1"
"LSM5"	"NDUFS8"	"SLC6A3"	"MT-TE"
"LTN1"	"NDUFV1"	"SLC6A4"	"MT-TS2"
"LXN"	"NDUFV2"	"SNAP25"	"MTHFR"
"LZTS1"	"NDUFV3"	"SOD1"	"MYO7A"
"MACROH2A1"	"PPID"	"SOD2"	"NIPA1"
"MAGED1"	"SDHA"	"SOD3"	"NIPA2"
"MAGEL2"	"SDHB"	"SORBS2"	"NKX2-1"
"MAN1A1"	"SDHC"	"SPR"	"PCDH15"
"MAOA"	"SDHCP5"	"STK11"	"PDZD7"
"MAP1A"	"SDHD"	"STXBP1"	"PRODH"
"MAP2K1"	"SEPTIN5"	"SULT1A3"	"PSAP"
"MAP2K4"	"SLC18A1"	"SYP"	"RBM12"
"MAP4K3"	"SLC25A31"	"SYT1"	"RREB1"
"MAPK1"	"SLC25A4"	"TAAR1"	"RTN4R"
"MAPK14"	"SLC25A5"	"TCN1"	"SEC24C"
"MAPK8IP1"	"SLC25A6"	"TCN2"	"SETD1A"
"MAPK9"	"UBA1"	"TDO2"	"SHANK3"
"MAPRE3"	"UBA7"	"TH"	"SLC12A2"
"MARS1"	"UBB"	"TNF"	"SNCA"
"MATK"	"UBE2G1"	"TPH1"	"SYN2"
"MATR3"	"UBE2G2"	"TPH2"	"TBX1"
"MCCC1"	"UBE2J1"	"TYMS"	"TPM2"
"MCCC2"	"UBE2J2"	"ULK1"	"TUBG1"
"MCM4"	"UBE2L3"	"VAMP2"	"UFD1"
"MCTS1"	"UBE2L6"	"WDR45"	"UPF3B"
"MDH1"	"UQCR10"	"WIPI1"	"USH1C"
"MDH2"	"UQCR10P1"	"WIPI2"	"USH1G"
"ME1"	"UQCR11"	"XDH"	"USH2A"
"ME3"	"UQCRB"	"ARC"	"VPS35"
"MECR"	"UQCRC2"	"BDNF"	"WFS1"
"MED17"	"UQCRFS1"	"CAMK2B"	"WHRN"
"MED6"	"UQCRH"	"CAMK4"	"ZBTB20"
"MEF2A"	"UQCRHL"	"EIF4EBP1"	"ZDHHC9"
"MEF2C"	"UQCRQ"	"GSK3B"	"ABCB7"
"MEG3"	"VDAC1"	"HRAS"	"ADGRV1"
"MEMO1"	"VDAC2"	"KRAS"	"AMACR"
"MET"	"VDAC2P5"	"MAPK1"	"APOL2"
"METAP1"	"VDAC3"	"MAPK3"	"APOL4"
"METTL5"	"CASP2"	"NF1"	"ARSA"
"MFF"	"CASP6"	"NRAS"	"ARSG"
"MFN1"	"CASP7"	"PRKAB1"	"ARVCF"
"MGA"	"CCNE1"	"PRKAB2"	"ATG7"
"MGLL"	"CCNE2"	"PRKAG1"	"ATP2A2"
"MGST3"	"DDC"	"PRKAG2"	"CAT"
"MICU1"	"EPRS1"	"PRKAG3"	"CDH23"
"MKKS"	"MAPK11"	"RPS6KB1"	"CEP78"
"MLF2"	"MAPK12"	"AARS1"	"CHI3L1"
"MLLT11"	"MAPK13"	"ABCB7"	"CHRNA7"
"MMD"	"MAPK14"	"ACTL6B"	"CIB2"
"MNDA"	"MIR10A"	"ADNP"	"CLRN1"
"MOAP1"	"MIR1224"	"ADSL"	"CNTNAP2"
"MOB4"	"MIR127"	"AHDC1"	"COMT"
"MOCS2"	"MIR128-1"	"AKT1"	"DAOA"
"MOXD1"	"MIR128-2"	"ALAD"	"DNAJC13"
"MPP1"	"MIR1294"	"ALDH5A1"	"DNMT3A"
"MPPED1"	"MIR132"	"ALG13"	"DRD3"
"MPV17"	"MIR136"	"ALG14"	"DSG4"
"MRPL13"	"MIR16-2"	"ANKRD11"	"EIF4G1"
"MRPL15"	"MIR18A"	"AP3B2"	"ESPN"
"MRPL16"	"MIR195"	"ARCN1"	"FLI1"
"MRPL18"	"MIR19A"	"ARL6"	"FTSJ1"
"MRPL19"	"MIR19B1"	"ARNT2"	"GBA1"
"MRPL20"	"MIR19B2"	"ARVCF"	"GIGYF2"
"MRPL22"	"MIR212"	"ASCC3"	"GJA5"
"MRPL3"	"MIR26A1"	"ASXL3"	"GJA8"
"MRPL57"	"MIR26A2"	"ATP1A2"	"GP1BB"
"MRPS10"	"MIR26B"	"ATP1A3"	"HARS1"
"MRPS15"	"MIR30A"	"ATP6V1A"	"HIRA"
"MRPS28"	"MIR30E"	"ATRX"	"HTR2A"
"MSH2"	"MIR338"	"BAZ1B"	"JMJD1C"
"MTCH2"	"MIR34B"	"BBIP1"	"KRT81"
"MTERF3"	"MIR34C"	"BBS1"	"KRT83"
"MTF2"	"MIR370"	"BBS10"	"KRT86"
"MTHFD1"	"MIR375"	"BBS12"	"LRRK2"
"MTMR1"	"MIR409"	"BBS2"	"MED12"
"MTMR4"	"MIR431"	"BBS4"	"MSTO1"
"MTMR9"	"MIR433"	"BBS5"	"MT-TE"
"MTX2"	"MIR4448"	"BBS7"	"MT-TS2"
"MXD1"	"MIR485"	"BBS9"	"MTHFR"
"MYL12A"	"MIR503"	"BCKDK"	"MYO7A"
"MYL12B"	"MIR873"	"BRD4"	"NIPA1"
"MYT1L"	"MIRLET7G"	"BUD23"	"NIPA2"
"NAA35"	"SYT11"	"CACNA1A"	"NKX2-1"
"NAE1"	"ABCA7"	"CACNA1B"	"PCDH15"
"NAP1L2"	"ACBD6"	"CACNA1C"	"PDZD7"
"NARS1"	"ADH1C"	"CACNA2D1"	"PRODH"
"NCAN"	"AFG3L2"	"CASZ1"	"PSAP"
"NCBP2"	"ALS2"	"CDK13"	"RBM12"
"NDEL1"	"AOPEP"	"CDK19"	"RREB1"
"NDFIP1"	"AP5Z1"	"CELF2"	"RTN4R"
"NDRG4"	"APOE"	"CEP19"	"SEC24C"
"NDUFA10"	"APP"	"CEP290"	"SETD1A"
"NDUFA2"	"ARVCF"	"CFAP418"	"SHANK3"
"NDUFA3"	"ATN1"	"CHD1"	"SLC12A2"
"NDUFA4"	"ATP13A2"	"CHD7"	"SNCA"
"NDUFA5"	"ATP1A3"	"CHD8"	"SYN2"
"NDUFA7"	"ATP6AP2"	"CHRNA7"	"TBX1"
"NDUFA8"	"ATP7B"	"CLIP2"	"TPM2"
"NDUFAB1"	"ATXN2"	"CLTC"	"TUBG1"
"NDUFB1"	"ATXN3"	"CNKSR2"	"UFD1"
"NDUFB11"	"ATXN8OS"	"CNTNAP2"	"UPF3B"
"NDUFB2"	"C19orf12"	"COMT"	"USH1C"
"NDUFB3"	"C9orf72"	"CREBBP"	"USH1G"
"NDUFB4"	"CAT"	"CYFIP2"	"USH2A"
"NDUFB5"	"CBS"	"CYP27A1"	"VPS35"
"NDUFB8"	"CHCHD10"	"DALRD3"	"WFS1"
"NDUFC2"	"CHCHD2"	"DEAF1"	"WHRN"
"NDUFS2"	"CHMP2B"	"DHCR7"	"ZBTB20"
"NDUFS3"	"CLN3"	"DHDDS"	"ZDHHC9"
"NDUFS4"	"COASY"	"DICER1"	"ABCB7"
"NDUFV2"	"COMT"	"DNAJC30"	"ADGRV1"
"NECAP1"	"COQ2"	"DNM1"	"AMACR"
"NEDD8"	"CP"	"DOCK7"	"APOL2"
"NEFH"	"CSF1R"	"DPAGT1"	"APOL4"
"NEFL"	"CYP27A1"	"DPYD"	"ARSA"
"NEFM"	"DCTN1"	"DPYS"	"ARSG"
"NELL1"	"DNAJC12"	"DYRK1A"	"ARVCF"
"NELL2"	"DNAJC13"	"EEF1A2"	"ATG7"
"NETO2"	"DNAJC5"	"EHMT1"	"ATP2A2"
"NEUROD1"	"DNAJC6"	"EIF4A2"	"CAT"
"NEUROD6"	"EIF2AK2"	"EIF4H"	"CDH23"
"NF2"	"EIF4G1"	"ELN"	"CEP78"
"NFU1"	"FBXO7"	"EP300"	"CHI3L1"
"NFYC"	"FMR1"	"ERI1"	"CHRNA7"
"NIF3L1"	"FTL"	"EXT2"	"CIB2"
"NIPSNAP1"	"FUS"	"FBXO28"	"CLRN1"
"NIPSNAP2"	"GABRA1"	"FGF12"	"CNTNAP2"
"NIT2"	"GABRG2"	"FGFR1"	"COMT"
"NME1"	"GBA1"	"FKBP6"	"DAOA"
"NME2"	"GCH1"	"FLCN"	"DNAJC13"
"NMNAT2"	"GIGYF2"	"FLG"	"DNMT3A"
"NNAT"	"GP1BB"	"FMR1"	"DRD3"
"NNT"	"GRN"	"FOXG1"	"DSG4"
"NOLC1"	"HIRA"	"FTCD"	"EIF4G1"
"NOS1AP"	"HTRA2"	"FTSJ1"	"ESPN"
"NPAS2"	"IMPDH2"	"FZR1"	"FLI1"
"NPEPPS"	"JAM2"	"GABBR2"	"FTSJ1"
"NPTN"	"JMJD1C"	"GABRA2"	"GBA1"
"NPY"	"JPH3"	"GABRA5"	"GIGYF2"
"NQO1"	"KCNN2"	"GABRB2"	"GJA5"
"NR2C1"	"KIF5A"	"GABRD"	"GJA8"
"NREP"	"LRRK2"	"GABRG2"	"GP1BB"
"NRGN"	"LYST"	"GAMT"	"HARS1"
"NRIP1"	"MAPT"	"GATM"	"HIRA"
"NRN1"	"MECP2"	"GJA5"	"HTR2A"
"NRSN2"	"MPO"	"GJA8"	"JMJD1C"
"NRXN1"	"MPV17"	"GLRA2"	"KRT81"
"NSFL1C"	"MT-TT"	"GNB1"	"KRT83"
"NT5E"	"MYORG"	"GP1BB"	"KRT86"
"NUDT11"	"NAA60"	"GRIA3"	"LRRK2"
"NUFIP1"	"NOS3"	"GRIN2D"	"MED12"
"NUMB"	"NOTCH3"	"GTF2I"	"MSTO1"
"NUP153"	"NR4A2"	"GTF2IRD1"	"MT-TE"
"OAT"	"PANK2"	"GTF2IRD2"	"MT-TS2"
"OAZ2"	"PARK7"	"H4C5"	"MTHFR"
"OGA"	"PCBD1"	"HCN1"	"MYO7A"
"OGT"	"PCDH19"	"HDAC4"	"NIPA1"
"OLFM1"	"PDE10A"	"HDAC8"	"NIPA2"
"OMG"	"PDGFB"	"HECTD4"	"NKX2-1"
"OPA1"	"PDGFRB"	"HERC2"	"PCDH15"
"ORC3"	"PINK1"	"HESX1"	"PDZD7"
"ORC5"	"PLA2G6"	"HIRA"	"PRODH"
"OSBPL10"	"PLAU"	"HNF1B"	"PSAP"
"OXCT1"	"POLG"	"HSPG2"	"RBM12"
"OXR1"	"PPP2R2B"	"IFNG"	"RREB1"
"P4HA1"	"PRKAR1B"	"IFT172"	"RTN4R"
"P4HTM"	"PRKN"	"IFT27"	"SEC24C"
"PAFAH1B1"	"PRKRA"	"IFT74"	"SETD1A"
"PAIP1"	"PRNP"	"IL1RAPL1"	"SHANK3"
"PAK3"	"PSAP"	"IQSEC2"	"SLC12A2"
"PAK6"	"PSEN1"	"JMJD1C"	"SNCA"
"PALM2AKAP2"	"PSEN2"	"KCNA2"	"SYN2"
"PAM"	"PTPA"	"KCNAB2"	"TBX1"
"PANK4"	"PTRHD1"	"KCNB1"	"TPM2"
"PANX1"	"PTS"	"KCNC2"	"TUBG1"
"PAPSS1"	"RAB39B"	"KDM5C"	"UFD1"
"PARP1"	"RREB1"	"KLLN"	"UPF3B"
"PCCA"	"SCARB2"	"KMT2A"	"USH1C"
"PCCB"	"SCN1A"	"LHX1"	"USH1G"
"PCDH11X"	"SCN1B"	"LIMK1"	"USH2A"
"PCDH7"	"SCN2A"	"LUZP1"	"VPS35"
"PCDHA9"	"SCN9A"	"LZTFL1"	"WFS1"
"PCLO"	"SEC24C"	"MAGEL2"	"WHRN"
"PCMT1"	"SIGMAR1"	"MAN1B1"	"ZBTB20"
"PCNA"	"SLC18A2"	"MAOA"	"ZDHHC9"
"PCNT"	"SLC20A2"	"MECP2"	"ABCB7"
"PCP4"	"SLC30A10"	"MED12"	"ADGRV1"
"PCSK1"	"SLC39A14"	"MED13L"	"AMACR"
"PCSK2"	"SLC6A3"	"MEIS2"	"APOL2"
"PDCD2"	"SNCA"	"METTL27"	"APOL4"
"PDCD5"	"SNCAIP"	"MKKS"	"ARSA"
"PDE2A"	"SNCB"	"MKRN3"	"ARSG"
"PDE4B"	"SORL1"	"MKS1"	"ARVCF"
"PDE4D"	"SPG11"	"MMP23B"	"ATG7"
"PDE4DIP"	"SPTLC1"	"NAA20"	"ATP2A2"
"PDHA1"	"SQSTM1"	"NAGA"	"CAT"
"PDHB"	"STUB1"	"NCF1"	"CDH23"
"PDHX"	"SYNJ1"	"NDN"	"CEP78"
"PDIA6"	"TAF1"	"NDP"	"CHI3L1"
"PDS5B"	"TARDBP"	"NECAP1"	"CHRNA7"
"PEG10"	"TBK1"	"NFIB"	"CIB2"
"PEG3"	"TBP"	"NHS"	"CLRN1"
"PENK"	"TBX1"	"NIPA1"	"CNTNAP2"
"PEX1"	"TH"	"NIPA2"	"COMT"
"PEX11B"	"TK2"	"NIPBL"	"DAOA"
"PEX19"	"TMEM106B"	"NLGN3"	"DNAJC13"
"PEX3"	"TMEM240"	"NONO"	"DNMT3A"
"PEX7"	"TNR"	"NPAP1"	"DRD3"
"PFDN1"	"TOMM40"	"NPHP1"	"DSG4"
"PFDN2"	"TREM2"	"NR2F1"	"EIF4G1"
"PFDN4"	"TRPM7"	"NSUN2"	"ESPN"
"PFKM"	"TSPOAP1"	"NSUN6"	"FLI1"
"PFN2"	"TWNK"	"NTRK2"	"FTSJ1"
"PGAM1"	"UBTF"	"NUS1"	"GBA1"
"PGK1"	"UCHL1"	"OCA2"	"GIGYF2"
"PGM1"	"UFD1"	"OTX2"	"GJA5"
"PGRMC1"	"UQCRC1"	"PACS2"	"GJA8"
"PGS1"	"VCP"	"PAH"	"GP1BB"
"PHTF1"	"VPS13A"	"PAK2"	"HARS1"
"PI4KA"	"VPS13C"	"PARS2"	"HIRA"
"PIAS1"	"VPS35"	"PDE4D"	"HTR2A"
"PIGK"	"WARS2"	"PDPN"	"JMJD1C"
"PIGP"	"WDR45"	"PIGA"	"KRT81"
"PIK3R4"	"XPR1"	"PIGL"	"KRT83"
"PINK1"	"BMP2"	"PIK3CA"	"KRT86"
"PIP5K1B"	"FNIP1"	"PLXND1"	"LRRK2"
"PIP5K1C"	"GAA"	"PPP3CA"	"MED12"
"PITPNA"	"GTPBP3"	"PRDM16"	"MSTO1"
"PITPNB"	"IFNG"	"PRKCZ"	"MT-TE"
"PITRM1"	"JAG2"	"PROKR2"	"MT-TS2"
"PJA1"	"LAMP2"	"PTCHD1"	"MTHFR"
"PKNOX2"	"MRPS14"	"PTEN"	"MYO7A"
"PLCB1"	"MT-CO1"	"PWAR1"	"NIPA1"
"PLCL2"	"MT-CO2"	"PWRN1"	"NIPA2"
"PLK2"	"MT-CO3"	"RAD21"	"NKX2-1"
"PMPCB"	"MT-CYB"	"RAI1"	"PCDH15"
"PNMA2"	"MT-ND1"	"RERE"	"PDZD7"
"PNN"	"MT-ND4"	"REV3L"	"PRODH"
"POLR2B"	"MT-ND5"	"RFC2"	"PSAP"
"POLR2G"	"MT-ND6"	"RPL10"	"RBM12"
"POLR2J4"	"MT-TC"	"RREB1"	"RREB1"
"POLR2K"	"MT-TF"	"SATB1"	"RTN4R"
"PON2"	"MT-TH"	"SATB2"	"SEC24C"
"POP7"	"MT-TK"	"SCAPER"	"SETD1A"
"PPA1"	"MT-TL1"	"SCLT1"	"SHANK3"
"PPIA"	"MT-TQ"	"SCN1A"	"SLC12A2"
"PPID"	"MT-TS2"	"SCN2A"	"SNCA"
"PPP1R11"	"MT-TV"	"SCN3A"	"SYN2"
"PPP1R12A"	"MT-TW"	"SCN8A"	"TBX1"
"PPP1R2"	"MTFMT"	"SDCCAG8"	"TPM2"
"PPP1R7"	"NDUFAF1"	"SDHB"	"TUBG1"
"PPP2R2B"	"PRKAG2"	"SDHC"	"UFD1"
"PPP2R5C"	"TCAP"	"SDHD"	"UPF3B"
"PPP2R5E"	"TNNI3"	"SEC23B"	"USH1C"
"PPP3CA"	"TSC1"	"SEC24C"	"USH1G"
"PPP3CB"	"TSC2"	"SEMA3E"	"USH2A"
"PPP3R1"	"APAF1"	"SETD2"	"VPS35"
"PPT1"	"ATP5F1A"	"SH2B1"	"WFS1"
"PRAF2"	"ATP5F1B"	"SHANK3"	"WHRN"
"PRDX2"	"ATP5F1C"	"SIN3A"	"ZBTB20"
"PRDX3"	"ATP5F1D"	"SKI"	"ZDHHC9"
"PRDX4"	"ATP5F1E"	"SLC13A5"	"ABCB7"
"PREP"	"ATP5MC1"	"SLC1A2"	"ADGRV1"
"PREPL"	"ATP5MC1P5"	"SLC35C1"	"AMACR"
"PRKAR1A"	"ATP5MC2"	"SLC38A3"	"APOL2"
"PRKAR1B"	"ATP5MC3"	"SLC9A6"	"APOL4"
"PRKAR2B"	"ATP5PB"	"SMAD4"	"ARSA"
"PRKCB"	"ATP5PD"	"SMC1A"	"ARSG"
"PRKCI"	"ATP5PF"	"SMC3"	"ARVCF"
"PRMT1"	"ATP5PO"	"SNORD115-1"	"ATG7"
"PRPF19"	"CASP3"	"SNORD116-1"	"ATP2A2"
"PRPS1"	"CASP9"	"SNRPN"	"CAT"
"PSAT1"	"COX4I1"	"SOX2"	"CDH23"
"PSD3"	"COX4I2"	"SOX3"	"CEP78"
"PSMA1"	"COX5A"	"SPEN"	"CHI3L1"
"PSMA5"	"COX5B"	"SPTBN1"	"CHRNA7"
"PSMA7"	"COX6A1"	"STS"	"CIB2"
"PSMB2"	"COX6A2"	"STX1A"	"CLRN1"
"PSMB3"	"COX6B1"	"SUPT16H"	"CNTNAP2"
"PSMB4"	"COX6B2"	"SYNGAP1"	"COMT"
"PSMB5"	"COX6C"	"SYNJ1"	"DAOA"
"PSMB6"	"COX6CP3"	"SZT2"	"DNAJC13"
"PSMC2"	"COX7A1"	"TAF4"	"DNMT3A"
"PSMC6"	"COX7A2"	"TAF6"	"DRD3"
"PSMD1"	"COX7A2L"	"TAOK1"	"DSG4"
"PSMD10"	"COX7B"	"TBCK"	"EIF4G1"
"PSMD11"	"COX7B2"	"TBL2"	"ESPN"
"PSMD12"	"COX7C"	"TBR1"	"FLI1"
"PSMD14"	"COX8A"	"TBX1"	"FTSJ1"
"PSMD6"	"COX8C"	"TCF12"	"GBA1"
"PSME3"	"CYC1"	"TMEM270"	"GIGYF2"
"PSMG1"	"CYCS"	"TMLHE"	"GJA5"
"PSMG2"	"GPR37"	"TRAK1"	"GJA8"
"PSPC1"	"MT-ATP6"	"TRIM32"	"GP1BB"
"PTDSS1"	"MT-ATP8"	"TSC1"	"HARS1"
"PTEN"	"MT-ND2"	"TSC2"	"HIRA"
"PTGER4"	"MT-ND3"	"TTC8"	"HTR2A"
"PTGES2"	"MT-ND4L"	"TUBG1"	"JMJD1C"
"PTGES3"	"NDUFA1"	"UBA5"	"KRT81"
"PTH2R"	"NDUFA10"	"UBE3A"	"KRT83"
"PTK2B"	"NDUFA2"	"UBE4B"	"KRT86"
"PTN"	"NDUFA3"	"UFD1"	"LRRK2"
"PTPRE"	"NDUFA4"	"USF3"	"MED12"
"PTPRN2"	"NDUFA4L2"	"VPS37D"	"MSTO1"
"PTPRR"	"NDUFA5"	"WDPCP"	"MT-TE"
"PTPRT"	"NDUFA6"	"WFS1"	"MT-TS2"
"PTRH2"	"NDUFA7"	"WWOX"	"MTHFR"
"PTS"	"NDUFA8"	"YWHAG"	"MYO7A"
"PTX3"	"NDUFA9"	"YY1"	"NIPA1"
"PUM2"	"NDUFAB1"	"ZBTB20"	"NIPA2"
