"Alzheimer"	"Parkinson"	"Autism"	"Schizophrenia"
"ATIC"	"SLC18A2"	"GNB1"	"ESPN"
"ATP13A2"	"SLC20A2"	"GP1BB"	"FLI1"
"ATP1A2"	"SLC30A10"	"GRIA3"	"FTSJ1"
"ATP1B1"	"SLC39A14"	"GRIN2D"	"GBA1"
"ATP2A2"	"SLC6A3"	"GTF2I"	"GIGYF2"
"ATP2B1"	"SNCA"	"GTF2IRD1"	"GJA5"
"ATP2B2"	"SNCAIP"	"GTF2IRD2"	"GJA8"
"ATP2C1"	"SNCB"	"H4C5"	"GP1BB"
"ATP5F1A"	"SORL1"	"HCN1"	"HARS1"
"ATP5F1B"	"SPG11"	"HDAC4"	"HIRA"
"ATP5F1C"	"SPTLC1"	"HDAC8"	"HTR2A"
"ATP5F1E"	"SQSTM1"	"HECTD4"	"JMJD1C"
"ATP5IF1"	"STUB1"	"HERC2"	"KRT81"
"ATP5MC3"	"SYNJ1"	"HESX1"	"KRT83"
"ATP5MF"	"TAF1"	"HIRA"	"KRT86"
"ATP5MG"	"TARDBP"	"HNF1B"	"LRRK2"
"ATP5MJ"	"TBK1"	"HSPG2"	"MED12"
"ATP5PB"	"TBP"	"IFNG"	"MSTO1"
"ATP5PD"	"TBX1"	"IFT172"	"MT-TE"
"ATP5PF"	"TH"	"IFT27"	"MT-TS2"
"ATP5PO"	"TK2"	"IFT74"	"MTHFR"
"ATP6AP1"	"TMEM106B"	"IL1RAPL1"	"MYO7A"
"ATP6AP2"	"TMEM240"	"IQSEC2"	"NIPA1"
"ATP6V0C"	"TNR"	"JMJD1C"	"NIPA2"
"ATP6V1A"	"TOMM40"	"KCNA2"	"NKX2-1"
"ATP6V1C1"	"TREM2"	"KCNAB2"	"PCDH15"
"ATP6V1D"	"TRPM7"	"KCNB1"	"PDZD7"
"ATP6V1E1"	"TSPOAP1"	"KCNC2"	"PRODH"
"ATP6V1F"	"TWNK"	"KDM5C"	"PSAP"
"ATP6V1G2"	"UBTF"	"KLLN"	"RBM12"
"ATP6V1H"	"UCHL1"	"KMT2A"	"RREB1"
"ATP8A2"	"UFD1"	"LHX1"	"RTN4R"
"ATR"	"UQCRC1"	"LIMK1"	"SEC24C"
"ATRN"	"VCP"	"LUZP1"	"SETD1A"
"ATRX"	"VPS13A"	"LZTFL1"	"SHANK3"
"ATXN1"	"VPS13C"	"MAGEL2"	"SLC12A2"
"ATXN10"	"VPS35"	"MAN1B1"	"SNCA"
"AUH"	"WARS2"	"MAOA"	"SYN2"
"AXL"	"WDR45"	"MECP2"	"TBX1"
"AZIN1"	"XPR1"	"MED12"	"TPM2"
"B2M"	"BMP2"	"MED13L"	"TUBG1"
"B3GALT2"	"FNIP1"	"MEIS2"	"UFD1"
"B4GALNT1"	"GAA"	"METTL27"	"UPF3B"
"B4GALT6"	"GTPBP3"	"MKKS"	"USH1C"
"BABAM2"	"IFNG"	"MKRN3"	"USH1G"
"BAG5"	"JAG2"	"MKS1"	"USH2A"
"BAG6"	"LAMP2"	"MMP23B"	"VPS35"
"BBLN"	"MRPS14"	"NAA20"	"WFS1"
"BCAN"	"MT-CO1"	"NAGA"	"WHRN"
"BCAP29"	"MT-CO2"	"NCF1"	"ZBTB20"
"BCAS2"	"MT-CO3"	"NDN"	"ZDHHC9"
"BCL11A"	"MT-CYB"	"NDP"	"ABCB7"
"BCL11B"	"MT-ND1"	"NECAP1"	"ADGRV1"
"BCL7B"	"MT-ND4"	"NFIB"	"AMACR"
"BECN1"	"MT-ND5"	"NHS"	"APOL2"
"BET1"	"MT-ND6"	"NIPA1"	"APOL4"
"BEX1"	"MT-TC"	"NIPA2"	"ARSA"
"BEX3"	"MT-TF"	"NIPBL"	"ARSG"
"BHLHE40"	"MT-TH"	"NLGN3"	"ARVCF"
"BLZF1"	"MT-TK"	"NONO"	"ATG7"
"BNIP3"	"MT-TL1"	"NPAP1"	"ATP2A2"
"BNIP3L"	"MT-TQ"	"NPHP1"	"CAT"
"BRINP1"	"MT-TS2"	"NR2F1"	"CDH23"
"BSCL2"	"MT-TV"	"NSUN2"	"CEP78"
"BSG"	"MT-TW"	"NSUN6"	"CHI3L1"
"BSN"	"MTFMT"	"NTRK2"	"CHRNA7"
"BTN2A1"	"NDUFAF1"	"NUS1"	"CIB2"
"C11orf58"	"PRKAG2"	"OCA2"	"CLRN1"
"C17orf75"	"TCAP"	"OTX2"	"CNTNAP2"
"C1orf21"	"TNNI3"	"PACS2"	"COMT"
"C6orf120"	"TSC1"	"PAH"	"DAOA"
"CA11"	"TSC2"	"PAK2"	"DNAJC13"
"CAB39"	"APAF1"	"PARS2"	"DNMT3A"
"CABP1"	"ATP5F1A"	"PDE4D"	"DRD3"
"CACNB2"	"ATP5F1B"	"PDPN"	"DSG4"
"CACNG3"	"ATP5F1C"	"PIGA"	"EIF4G1"
"CACYBP"	"ATP5F1D"	"PIGL"	"ESPN"
"CALM1"	"ATP5F1E"	"PIK3CA"	"FLI1"
"CALM3"	"ATP5MC1"	"PLXND1"	"FTSJ1"
"CAMK1G"	"ATP5MC1P5"	"PPP3CA"	"GBA1"
